[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.0419 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:35
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,7.295300,7.644800
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,14.9400
Phi,0.00
Psi,0.00
Z,8.469
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
7.604550, 0.088, 0.0
7.605050, 0.088, 0.0
7.605550, 0.088, 1.0
7.606050, 0.088, 1.0
7.606550, 0.088, 0.0
7.607050, 0.088, 2.0
7.607550, 0.088, 0.0
7.608050, 0.088, 1.0
7.608550, 0.088, 0.0
7.609050, 0.088, 0.0
7.609550, 0.088, 0.0
7.610050, 0.088, 0.0
7.610550, 0.088, 0.0
7.611050, 0.088, 1.0
7.611550, 0.088, 1.0
7.612050, 0.088, 0.0
7.612550, 0.088, 1.0
7.613050, 0.088, 0.0
7.613550, 0.088, 0.0
7.614050, 0.088, 0.0
7.614550, 0.088, 0.0
7.615050, 0.088, 4.0
7.615550, 0.088, 1.0
7.616050, 0.088, 1.0
7.616550, 0.088, 1.0
7.617050, 0.088, 0.0
7.617550, 0.088, 0.0
7.618050, 0.088, 0.0
7.618550, 0.088, 0.0
7.619050, 0.088, 0.0
7.619550, 0.088, 1.0
7.620050, 0.088, 0.0
7.620550, 0.088, 2.0
7.621050, 0.088, 1.0
7.621550, 0.088, 0.0
7.622050, 0.088, 0.0
7.622550, 0.088, 2.0
7.623050, 0.088, 0.0
7.623550, 0.088, 0.0
7.624050, 0.088, 1.0
7.624550, 0.088, 1.0
7.625050, 0.088, 0.0
7.625550, 0.088, 0.0
7.626050, 0.088, 0.0
7.626550, 0.088, 0.0
7.627050, 0.088, 0.0
7.627550, 0.088, 0.0
7.628050, 0.088, 0.0
7.628550, 0.088, 0.0
7.629050, 0.088, 0.0
7.629550, 0.088, 0.0
7.630050, 0.088, 0.0
7.630550, 0.088, 0.0
7.631050, 0.088, 0.0
7.631550, 0.088, 0.0
7.632050, 0.088, 0.0
7.632550, 0.088, 0.0
7.633050, 0.088, 0.0
7.633550, 0.088, 2.0
7.634050, 0.088, 1.0
7.634550, 0.088, 0.0
7.635050, 0.088, 0.0
7.635550, 0.088, 0.0
7.636050, 0.088, 0.0
7.636550, 0.088, 0.0
7.637050, 0.088, 0.0
7.637550, 0.088, 0.0
7.638050, 0.088, 0.0
7.638550, 0.088, 0.0
7.639050, 0.088, 1.0
7.639550, 0.088, 0.0
7.640050, 0.088, 1.0
7.640550, 0.088, 0.0
7.641050, 0.088, 0.0
7.641550, 0.088, 0.0
7.642050, 0.088, 0.0
7.642550, 0.088, 0.0
7.643050, 0.088, 0.0
7.643550, 0.088, 0.0
7.644050, 0.088, 0.0
7.644550, 0.088, 0.0
