[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2410 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:11
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,31.135200,31.484700
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,62.6197
Phi,0.00
Psi,0.00
Z,8.431
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
31.257450, 0.088, 0.0
31.257950, 0.088, 0.0
31.258450, 0.088, 0.0
31.258950, 0.088, 1.0
31.259450, 0.088, 0.0
31.259950, 0.088, 1.0
31.260450, 0.088, 1.0
31.260950, 0.088, 0.0
31.261450, 0.088, 3.0
31.261950, 0.088, 0.0
31.262450, 0.088, 2.0
31.262950, 0.088, 1.0
31.263450, 0.088, 1.0
31.263950, 0.088, 0.0
31.264450, 0.088, 0.0
31.264950, 0.088, 2.0
31.265450, 0.088, 0.0
31.265950, 0.088, 0.0
31.266450, 0.088, 1.0
31.266950, 0.088, 0.0
31.267450, 0.088, 1.0
31.267950, 0.088, 2.0
31.268450, 0.088, 1.0
31.268950, 0.088, 6.0
31.269450, 0.088, 1.0
31.269950, 0.088, 4.0
31.270450, 0.088, 8.0
31.270950, 0.088, 2.0
31.271450, 0.088, 1.0
31.271950, 0.088, 4.0
31.272450, 0.088, 2.0
31.272950, 0.088, 2.0
31.273450, 0.088, 4.0
31.273950, 0.088, 5.0
31.274450, 0.088, 4.0
31.274950, 0.088, 4.0
31.275450, 0.088, 3.0
31.275950, 0.088, 0.0
31.276450, 0.088, 4.0
31.276950, 0.088, 1.0
31.277450, 0.088, 3.0
31.277950, 0.088, 0.0
31.278450, 0.088, 2.0
31.278950, 0.088, 5.0
31.279450, 0.088, 5.0
31.279950, 0.088, 2.0
31.280450, 0.088, 0.0
31.280950, 0.088, 4.0
31.281450, 0.088, 3.0
31.281950, 0.088, 4.0
31.282450, 0.088, 4.0
31.282950, 0.088, 4.0
31.283450, 0.088, 3.0
31.283950, 0.088, 6.0
31.284450, 0.088, 6.0
31.284950, 0.088, 10.0
31.285450, 0.088, 1.0
31.285950, 0.088, 3.0
31.286450, 0.088, 7.0
31.286950, 0.088, 3.0
31.287450, 0.088, 5.0
31.287950, 0.088, 10.0
31.288450, 0.088, 8.0
31.288950, 0.088, 10.0
31.289450, 0.088, 9.0
31.289950, 0.088, 8.0
31.290450, 0.088, 13.0
31.290950, 0.088, 13.0
31.291450, 0.088, 13.0
31.291950, 0.088, 13.0
31.292450, 0.088, 9.0
31.292950, 0.088, 14.0
31.293450, 0.088, 23.0
31.293950, 0.088, 16.0
31.294450, 0.088, 12.0
31.294950, 0.088, 14.0
31.295450, 0.088, 12.0
31.295950, 0.088, 26.0
31.296450, 0.088, 24.0
31.296950, 0.088, 15.0
31.297450, 0.088, 27.0
31.297950, 0.088, 21.0
31.298450, 0.088, 29.0
31.298950, 0.088, 26.0
31.299450, 0.088, 23.0
31.299950, 0.088, 27.0
31.300450, 0.088, 36.0
31.300950, 0.088, 50.0
31.301450, 0.088, 39.0
31.301950, 0.088, 35.0
31.302450, 0.088, 50.0
31.302950, 0.088, 55.0
31.303450, 0.088, 63.0
31.303950, 0.088, 58.0
31.304450, 0.088, 75.0
31.304950, 0.088, 95.0
31.305450, 0.088, 111.0
31.305950, 0.088, 158.0
31.306450, 0.088, 254.0
31.306950, 0.088, 400.0
31.307450, 0.088, 602.0
31.307950, 0.088, 888.0
31.308450, 0.088, 1006.0
31.308950, 0.088, 1198.0
31.309450, 0.088, 1231.0
31.309950, 0.088, 1214.0
31.310450, 0.088, 1049.0
31.310950, 0.088, 886.0
31.311450, 0.088, 664.0
31.311950, 0.088, 405.0
31.312450, 0.088, 241.0
31.312950, 0.088, 190.0
31.313450, 0.088, 130.0
31.313950, 0.088, 101.0
31.314450, 0.088, 80.0
31.314950, 0.088, 63.0
31.315450, 0.088, 71.0
31.315950, 0.088, 38.0
31.316450, 0.088, 33.0
31.316950, 0.088, 34.0
31.317450, 0.088, 38.0
31.317950, 0.088, 31.0
31.318450, 0.088, 26.0
31.318950, 0.088, 27.0
31.319450, 0.088, 26.0
31.319950, 0.088, 15.0
31.320450, 0.088, 25.0
31.320950, 0.088, 12.0
31.321450, 0.088, 14.0
31.321950, 0.088, 19.0
31.322450, 0.088, 17.0
31.322950, 0.088, 17.0
31.323450, 0.088, 14.0
31.323950, 0.088, 12.0
31.324450, 0.088, 8.0
31.324950, 0.088, 15.0
31.325450, 0.088, 11.0
31.325950, 0.088, 7.0
31.326450, 0.088, 7.0
31.326950, 0.088, 7.0
31.327450, 0.088, 8.0
31.327950, 0.088, 10.0
31.328450, 0.088, 5.0
31.328950, 0.088, 4.0
31.329450, 0.088, 3.0
31.329950, 0.088, 3.0
31.330450, 0.088, 0.0
31.330950, 0.088, 1.0
31.331450, 0.088, 4.0
31.331950, 0.088, 0.0
31.332450, 0.088, 3.0
31.332950, 0.088, 3.0
31.333450, 0.088, 2.0
31.333950, 0.088, 5.0
31.334450, 0.088, 1.0
31.334950, 0.088, 0.0
31.335450, 0.088, 1.0
31.335950, 0.088, 0.0
31.336450, 0.088, 1.0
31.336950, 0.088, 2.0
31.337450, 0.088, 2.0
31.337950, 0.088, 5.0
31.338450, 0.088, 2.0
31.338950, 0.088, 3.0
31.339450, 0.088, 1.0
31.339950, 0.088, 2.0
31.340450, 0.088, 1.0
31.340950, 0.088, 1.0
31.341450, 0.088, 6.0
31.341950, 0.088, 0.0
31.342450, 0.088, 4.0
31.342950, 0.088, 0.0
31.343450, 0.088, 3.0
31.343950, 0.088, 0.0
31.344450, 0.088, 1.0
31.344950, 0.088, 6.0
31.345450, 0.088, 3.0
31.345950, 0.088, 0.0
31.346450, 0.088, 2.0
31.346950, 0.088, 0.0
31.347450, 0.088, 1.0
31.347950, 0.088, 0.0
31.348450, 0.088, 1.0
31.348950, 0.088, 2.0
31.349450, 0.088, 0.0
31.349950, 0.088, 0.0
31.350450, 0.088, 0.0
31.350950, 0.088, 0.0
31.351450, 0.088, 0.0
31.351950, 0.088, 1.0
31.352450, 0.088, 0.0
31.352950, 0.088, 0.0
31.353450, 0.088, 0.0
31.353950, 0.088, 1.0
31.354450, 0.088, 0.0
31.354950, 0.088, 2.0
31.355450, 0.088, 0.0
31.355950, 0.088, 0.0
31.356450, 0.088, 1.0
31.356950, 0.088, 1.0
31.357450, 0.088, 3.0
31.357950, 0.088, 1.0
31.358450, 0.088, 2.0
31.358950, 0.088, 1.0
31.359450, 0.088, 0.0
31.359950, 0.088, 1.0
31.360450, 0.088, 2.0
31.360950, 0.088, 0.0
31.361450, 0.088, 1.0
31.361950, 0.088, 0.0
31.362450, 0.088, 0.0
31.362950, 0.088, 1.0
31.363450, 0.088, 0.0
31.363950, 0.088, 1.0
31.364450, 0.088, 0.0
31.364950, 0.088, 0.0
31.365450, 0.088, 1.0
31.365950, 0.088, 0.0
31.366450, 0.088, 0.0
31.366950, 0.088, 0.0
31.367450, 0.088, 2.0
31.367950, 0.088, 0.0
31.368450, 0.088, 0.0
31.368950, 0.088, 0.0
31.369450, 0.088, 2.0
31.369950, 0.088, 0.0
31.370450, 0.088, 0.0
31.370950, 0.088, 1.0
31.371450, 0.088, 0.0
31.371950, 0.088, 1.0
31.372450, 0.088, 1.0
31.372950, 0.088, 0.0
31.373450, 0.088, 0.0
31.373950, 0.088, 1.0
31.374450, 0.088, 0.0
31.374950, 0.088, 0.0
31.375450, 0.088, 1.0
31.375950, 0.088, 3.0
31.376450, 0.088, 0.0
31.376950, 0.088, 0.0
31.377450, 0.088, 2.0
31.377950, 0.088, 2.0
31.378450, 0.088, 0.0
31.378950, 0.088, 1.0
31.379450, 0.088, 0.0
31.379950, 0.088, 0.0
31.380450, 0.088, 0.0
31.380950, 0.088, 1.0
31.381450, 0.088, 0.0
31.381950, 0.088, 0.0
31.382450, 0.088, 0.0
31.382950, 0.088, 0.0
31.383450, 0.088, 0.0
31.383950, 0.088, 0.0
31.384450, 0.088, 0.0
31.384950, 0.088, 0.0
31.385450, 0.088, 2.0
31.385950, 0.088, 0.0
31.386450, 0.088, 0.0
31.386950, 0.088, 0.0
31.387450, 0.088, 0.0
31.387950, 0.088, 1.0
31.388450, 0.088, 0.0
31.388950, 0.088, 0.0
31.389450, 0.088, 1.0
31.389950, 0.088, 3.0
31.390450, 0.088, 0.0
31.390950, 0.088, 0.0
31.391450, 0.088, 0.0
31.391950, 0.088, 0.0
31.392450, 0.088, 0.0
31.392950, 0.088, 0.0
31.393450, 0.088, 0.0
31.393950, 0.088, 0.0
31.394450, 0.088, 0.0
31.394950, 0.088, 0.0
31.395450, 0.088, 0.0
31.395950, 0.088, 0.0
31.396450, 0.088, 1.0
31.396950, 0.088, 0.0
31.397450, 0.088, 0.0
31.397950, 0.088, 0.0
31.398450, 0.088, 0.0
31.398950, 0.088, 0.0
31.399450, 0.088, 0.0
31.399950, 0.088, 0.0
31.400450, 0.088, 0.0
31.400950, 0.088, 1.0
31.401450, 0.088, 0.0
31.401950, 0.088, 0.0
31.402450, 0.088, 0.0
31.402950, 0.088, 0.0
31.403450, 0.088, 0.0
31.403950, 0.088, 0.0
31.404450, 0.088, 0.0
31.404950, 0.088, 0.0
31.405450, 0.088, 0.0
31.405950, 0.088, 1.0
31.406450, 0.088, 0.0
31.406950, 0.088, 0.0
31.407450, 0.088, 0.0
31.407950, 0.088, 1.0
31.408450, 0.088, 0.0
31.408950, 0.088, 0.0
31.409450, 0.088, 0.0
31.409950, 0.088, 0.0
31.410450, 0.088, 1.0
31.410950, 0.088, 1.0
31.411450, 0.088, 0.0
31.411950, 0.088, 0.0
31.412450, 0.088, 0.0
31.412950, 0.088, 0.0
31.413450, 0.088, 0.0
31.413950, 0.088, 0.0
31.414450, 0.088, 0.0
31.414950, 0.088, 0.0
31.415450, 0.088, 0.0
31.415950, 0.088, 0.0
31.416450, 0.088, 0.0
31.416950, 0.088, 0.0
31.417450, 0.088, 0.0
31.417950, 0.088, 0.0
31.418450, 0.088, 0.0
31.418950, 0.088, 0.0
31.419450, 0.088, 0.0
31.419950, 0.088, 0.0
31.420450, 0.088, 1.0
31.420950, 0.088, 0.0
31.421450, 0.088, 1.0
31.421950, 0.088, 0.0
31.422450, 0.088, 0.0
31.422950, 0.088, 0.0
31.423450, 0.088, 0.0
31.423950, 0.088, 0.0
31.424450, 0.088, 0.0
31.424950, 0.088, 0.0
31.425450, 0.088, 0.0
31.425950, 0.088, 0.0
31.426450, 0.088, 0.0
31.426950, 0.088, 0.0
31.427450, 0.088, 0.0
31.427950, 0.088, 0.0
31.428450, 0.088, 1.0
31.428950, 0.088, 0.0
31.429450, 0.088, 0.0
31.429950, 0.088, 0.0
31.430450, 0.088, 0.0
31.430950, 0.088, 0.0
31.431450, 0.088, 0.0
31.431950, 0.088, 0.0
31.432450, 0.088, 0.0
31.432950, 0.088, 0.0
31.433450, 0.088, 0.0
31.433950, 0.088, 0.0
31.434450, 0.088, 0.0
31.434950, 0.088, 0.0
31.435450, 0.088, 0.0
31.435950, 0.088, 0.0
31.436450, 0.088, 0.0
31.436950, 0.088, 0.0
31.437450, 0.088, 0.0
31.437950, 0.088, 0.0
31.438450, 0.088, 0.0
31.438950, 0.088, 0.0
31.439450, 0.088, 0.0
31.439950, 0.088, 0.0
31.440450, 0.088, 0.0
31.440950, 0.088, 0.0
31.441450, 0.088, 0.0
31.441950, 0.088, 0.0
31.442450, 0.088, 0.0
31.442950, 0.088, 0.0
31.443450, 0.088, 1.0
31.443950, 0.088, 1.0
31.444450, 0.088, 0.0
31.444950, 0.088, 0.0
31.445450, 0.088, 0.0
31.445950, 0.088, 0.0
31.446450, 0.088, 0.0
31.446950, 0.088, 0.0
31.447450, 0.088, 2.0
31.447950, 0.088, 0.0
31.448450, 0.088, 0.0
31.448950, 0.088, 0.0
31.449450, 0.088, 0.0
31.449950, 0.088, 0.0
31.450450, 0.088, 0.0
31.450950, 0.088, 0.0
31.451450, 0.088, 0.0
31.451950, 0.088, 0.0
31.452450, 0.088, 0.0
31.452950, 0.088, 0.0
31.453450, 0.088, 0.0
31.453950, 0.088, 0.0
31.454450, 0.088, 0.0
31.454950, 0.088, 0.0
31.455450, 0.088, 0.0
31.455950, 0.088, 0.0
31.456450, 0.088, 0.0
31.456950, 0.088, 1.0
31.457450, 0.088, 0.0
31.457950, 0.088, 1.0
31.458450, 0.088, 0.0
31.458950, 0.088, 0.0
31.459450, 0.088, 0.0
31.459950, 0.088, 0.0
31.460450, 0.088, 0.0
31.460950, 0.088, 0.0
31.461450, 0.088, 0.0
31.461950, 0.088, 0.0
31.462450, 0.088, 7.0
31.462950, 0.088, 0.0
31.463450, 0.088, 0.0
31.463950, 0.088, 0.0
31.464450, 0.088, 0.0
31.464950, 0.088, 1.0
31.465450, 0.088, 0.0
31.465950, 0.088, 0.0
31.466450, 0.088, 0.0
31.466950, 0.088, 0.0
31.467450, 0.088, 0.0
31.467950, 0.088, 1.0
31.468450, 0.088, 0.0
31.468950, 0.088, 0.0
31.469450, 0.088, 0.0
31.469950, 0.088, 0.0
31.470450, 0.088, 0.0
31.470950, 0.088, 0.0
31.471450, 0.088, 0.0
31.471950, 0.088, 0.0
31.472450, 0.088, 0.0
31.472950, 0.088, 0.0
31.473450, 0.088, 0.0
31.473950, 0.088, 0.0
31.474450, 0.088, 0.0
31.474950, 0.088, 0.0
31.475450, 0.088, 0.0
31.475950, 0.088, 0.0
31.476450, 0.088, 0.0
31.476950, 0.088, 0.0
31.477450, 0.088, 0.0
31.477950, 0.088, 0.0
31.478450, 0.088, 0.0
31.478950, 0.088, 0.0
31.479450, 0.088, 0.0
31.479950, 0.088, 0.0
31.480450, 0.088, 0.0
31.480950, 0.088, 0.0
31.481450, 0.088, 0.0
31.481950, 0.088, 0.0
31.482450, 0.088, 0.0
31.482950, 0.088, 0.0
31.483450, 0.088, 0.0
31.483950, 0.088, 0.0
31.484450, 0.088, 0.0
